ElipsoidName,SemiMajorAxis,InverseFlattening
WGS 84,6378137,298.2572236
WGS 72,6378135,298.26
Australian 1965,6378160,298.2497323
Krasovsky 1940,6378245,298.3
North American 1927,6378206.4,294.9786982
International 1924,6378388,297
Hayford 1909,6378388,296.9993621
Clarke 1880,6378249.145,293.465
Clarke 1866,6378206.4,294.9786982
Airy 1830,6377563.396,299.3249646
Bessel 1841,6377397.155,299.1528128
Everest 1830,6377276.345,300.8017
Ghana War Office,6378299.996,296
WGS 66,6378145,298.25
WGS 60,6378165,298.3
South American 1969,6378160,298.25
Modified Fischer 1960,6378155,298.3
Modified Everest 1830,6377304.063,300.8017
Modified Airy,6377340.189,299.3249646
Hough,6378270,297
Helmert 1906,6378200,298.3
GRS 1980,6378137,298.2572221
GRS 1967,6378160,298.2471674
Fischer 1968,6378150,298.3
Fischer 1960 (Mercury),6378166,298.3
Bessel 1841 (Nambia),6377483.865,299.1528128
Clarke 1878,6378190,293.465998
IERS 1989,6378136,298.257
IERS 2003,6378136.6,298.25642
New International (1967),6378157.5,298.2496154
Plessis 1817,6376523,308.64
Maupertuis,6397300,191
